id,name,team,minutes_average,passes_accuracy,take_ons_accuracy,challenges_accuracy,tackles_accuracy,shots_accuracy,saves_accuracy,external_id,matches_played,starts,minutes,progressive_carries,progressive_passes,progressive_passes_received,touches,carries,miscontrols,dispossessed,passes_completed,passes_attempted,take_ons_attempted,successful_take_ons,tackles,tackles_won,blocks,shots_blocked,passes_blocked,interceptions,clearances,recoveries,dribblers_challenged,challenges_lost,errors,shot_creating_actions,goal_creating_actions,shots_total,shots_on_target,expected_goals,expected_assists,key_passes,carries_into_final_third,offsides,gk_shots_on_target_against,gk_saves
2,Gabriel Fernando de Jesus,Arsenal,35.76,76.81,40.38,42.86,58.33,35.42,0,b66315ae,17,6,608,0.36,0.45,1.36,7.12,4.26,0.31,0.31,3.71,4.83,0.52,0.21,0.24,0.14,0.24,0.02,0.21,0.1,0.19,0.67,0.21,0.12,0,0.43,0.1,0.48,0.17,0.07,0.01,0.19,0.14,0.21,0,0
3,Gabriel dos Santos Magalhães,Arsenal,84.39,90.17,82.35,74.55,60.47,22.37,0,67ac5bb8,28,28,2363,0.34,4.34,0.38,64.59,38.48,0.31,0.07,51.03,56.59,0.17,0.14,0.86,0.52,1.45,1,0.45,0.55,3.21,2.17,0.55,0.14,0.07,1.21,0.21,0.76,0.17,0.09,0.04,0.45,0.76,0,0,0
4,Kai Havertz,Arsenal,81.52,78.42,23.68,26.67,56.25,39.62,0,fed7cb61,23,21,1875,1.4,2.44,4.52,31.4,16.72,1.76,0.92,16.28,20.76,1.52,0.36,0.64,0.36,0.92,0.16,0.76,0.24,1.32,1.64,0.6,0.44,0.04,1.68,0.12,2.12,0.84,0.38,0.07,0.68,0.92,0.56,0,0
6,Jurriën Timber,Arsenal,80.57,85.59,45.34,67.07,65.34,28.57,0,41034650,30,27,2417,1.73,4.42,3.15,50.33,26.97,1,0.73,36.18,42.27,1.61,0.73,1.76,1.15,0.58,0.12,0.45,0.67,1.33,2.85,0.82,0.27,0.03,1.58,0.27,0.42,0.12,0.04,0.04,0.52,0.82,0.18,0,0
7,Jorge Luiz Frello Filho,Arsenal,86.17,89.98,49.25,69.12,72.68,34,0,45db685d,6,6,517,0.5,9.67,0.83,92.83,56,1.17,0.67,77.83,86.5,0.67,0.33,1.83,1.33,0.5,0.17,0.33,1.67,0.17,7.33,2.17,0.67,0,3,0,0.5,0.17,0.03,0.15,1.5,1.17,0,0,0
8,Jakub Kiwior,Arsenal,66,91.44,59.09,73.85,36.46,30.77,0,dc3e663e,17,10,1122,0.22,2.09,0.04,36.78,21.39,0.13,0.09,29.26,32,0.22,0.13,0.96,0.35,0.57,0.35,0.22,0.26,2.52,1.35,0.65,0.17,0.13,0.35,0,0.13,0.04,0.01,0.01,0.22,0.3,0.04,0,0
9,Gabriel Martinelli Silva,Arsenal,69.39,71.39,30.38,30.91,65.45,43.51,0,48a5a5d6,33,25,2290,2.95,1.24,6.88,23.67,15.95,1.19,0.9,11.88,16.64,2.6,0.79,0.55,0.36,0.36,0,0.36,0.12,0.45,1.86,0.55,0.38,0,1.76,0.17,1.31,0.57,0.18,0.11,0.95,0.79,0.19,0,0
12,Ethan Nwaneri,Arsenal,34.42,80.44,59.14,32.26,62.5,36.11,0,7f94982c,26,11,895,0.69,0.49,1.69,8.12,5.45,0.34,0.25,5.1,6.34,0.93,0.55,0.16,0.1,0.12,0.03,0.09,0.03,0.06,0.51,0.31,0.21,0.01,0.43,0.04,0.36,0.13,0.02,0.03,0.24,0.37,0.09,0,0
13,Martin Ødegaard,Arsenal,77.5,82.51,42.53,16.22,57.14,31.21,0,79300479,30,26,2325,2.71,7.59,4.53,49.82,34.53,1.12,1.18,36.38,44.09,1.74,0.74,0.56,0.32,0.15,0,0.15,0.18,0.18,2.85,0.74,0.62,0.03,3.65,0.53,1.41,0.44,0.14,0.2,1.85,2.5,0.03,0,0
15,David Raya Martin,Arsenal,90,73.61,100,0,0,0,71.52,98ea5115,38,38,3420,0,0.37,0,38.95,24.24,0.03,0,27.37,37.18,0.03,0.03,0,0,0,0,0,0.05,0.55,1.08,0.05,0.05,0.24,0.13,0.03,0,0,0,0,0.03,0,0,3.16,2.26
16,Declan Rice,Arsenal,80.71,83.38,48.65,40.95,47.06,29.27,0,1c7012b8,35,33,2825,2.31,4.92,2.41,49.95,26.44,0.92,0.82,35.28,42.31,0.74,0.36,1.36,0.64,0.69,0.33,0.36,0.64,1.31,4,1.05,0.62,0,2.85,0.26,1.23,0.36,0.09,0.14,1.51,1.49,0.05,0,0
17,Bukayo Saka,Arsenal,69.16,75.53,45.55,54.67,51.65,33.5,0,bc7dc64d,25,20,1729,3,2.19,7.97,30.59,19.62,1.06,1.25,17.25,22.84,2.81,1.28,0.91,0.47,0.69,0,0.69,0.09,0.25,2.19,0.75,0.34,0,3.66,0.72,2.06,0.69,0.21,0.24,1.81,1,0.22,0,0
18,William Saliba,Arsenal,86.83,94.3,62.26,75.64,59.88,35.29,0,972aeb2a,35,35,3039,0.44,3.83,0.17,78.44,48.78,0.53,0.22,67.03,71.08,0.53,0.33,1.72,1.03,0.69,0.42,0.28,0.58,3.31,4.28,0.78,0.19,0.19,0.75,0.03,0.17,0.06,0.06,0.04,0.19,0.47,0.03,0,0
20,Thomas Partey,Arsenal,79.91,87.41,68.89,60.51,59.65,34.33,0,529f49ab,35,31,2797,0.92,4.74,1.23,56.23,32.21,0.62,0.44,43.03,49.23,0.9,0.62,2.28,1.36,0.74,0.23,0.51,0.9,1.26,3.54,1.95,0.77,0.1,1.59,0.33,0.67,0.23,0.06,0.07,0.51,1.08,0.03,0,0
