id,name,team,25-Aug-25
1,David Raya Martín,Arsenal,
2,Kepa Arrizabalaga Revuelta,Arsenal,
3,Karl Hein,Arsenal,
4,Tommy Setford,Arsenal,
5,Gabriel dos Santos Magalhães,Arsenal,
6,William Saliba,Arsenal,
7,Riccardo Calafiori,Arsenal,
8,Jurriën Timber,Arsenal,
9,Jakub Kiwior,Arsenal,
10,Myles Lewis-Skelly,Arsenal,
11,Benjamin White,Arsenal,
12,Oleksandr Zinchenko,Arsenal,
13,Brayden Clarke,Arsenal,
14,Maldini Kacurri,Arsenal,
15,Josh Nichols,Arsenal,
16,Bukayo Saka,Arsenal,
17,Martin Ødegaard,Arsenal,
18,Noni Madueke,Arsenal,
19,Gabriel Martinelli Silva,Arsenal,
20,Leandro Trossard,Arsenal,
21,Declan Rice,Arsenal,
22,Mikel Merino Zazón,Arsenal,
23,Fábio Ferreira Vieira,Arsenal,
24,Christian Nørgaard,Arsenal,
25,Ethan Nwaneri,Arsenal,
26,Martín Zubimendi Ibáñez,Arsenal,
27,Reiss Nelson,Arsenal,
28,Ismeal Kabia,Arsenal,
29,Albert Sambi Lokonga,Arsenal,
30,Kai Havertz,Arsenal,
31,Gabriel Fernando de Jesus,Arsenal,
32,Emiliano Martínez Romero,Aston Villa,
33,Marco Bizot,Aston Villa,
34,Joe Gauci,Aston Villa,
35,Filip Marschall,Aston Villa,
36,Matty Cash,Aston Villa,
37,Lucas Digne,Aston Villa,
38,Ezri Konsa Ngoyo,Aston Villa,
39,Ian Maatsen,Aston Villa,
40,Tyrone Mings,Aston Villa,
41,Pau Torres,Aston Villa,
42,Andrés García,Aston Villa,
43,Álex Moreno Lopera,Aston Villa,
44,Lamare Bogarde,Aston Villa,
45,Lino da Cruz Sousa,Aston Villa,
46,Yasin Özcan,Aston Villa,
47,Morgan Rogers,Aston Villa,
48,Youri Tielemans,Aston Villa,
49,Leon Bailey,Aston Villa,
50,Emiliano Buendía Stati,Aston Villa,
51,Samuel Iling-Junior,Aston Villa,
52,Jacob Ramsey,Aston Villa,
53,Donyell Malen,Aston Villa,
54,John McGinn,Aston Villa,
55,Ross Barkley,Aston Villa,
56,Enzo Barrenechea,Aston Villa,
57,Lewis Dobbin,Aston Villa,
58,Boubacar Kamara,Aston Villa,
59,Amadou Onana,Aston Villa,
60,Ben Broggio,Aston Villa,
61,Leander Dendoncker,Aston Villa,
62,Jamaldeen Jimoh-Aloba,Aston Villa,
63,Kadan Young,Aston Villa,
64,Ollie Watkins,Aston Villa,
65,Zépiqueno Redmond,Aston Villa,
182,James Trafford,Burnley,
183,Max Weiß,Burnley,
184,Etienne Green,Burnley,
185,Václav Hladký,Burnley,
186,Connor Roberts,Burnley,
187,Kyle Walker,Burnley,
188,Hannes Delcroix,Burnley,
189,Owen Dodgson,Burnley,
190,Hjalmar Ekdal,Burnley,
191,Maxime Estève,Burnley,
192,Quilindschy Hartman,Burnley,
193,Bashir Humphreys,Burnley,
194,Jordan Beyer,Burnley,
195,Lucas Pires Silva,Burnley,
196,Shurandy Sambo,Burnley,
197,Oliver Sonne,Burnley,
198,Axel Tuanzebe,Burnley,
199,Joe Worrall,Burnley,
200,Jaidon Anthony,Burnley,
201,Manuel Benson Hedilazio,Burnley,
202,Jacob Bruun Larsen,Burnley,
203,Enock Agyei,Burnley,
204,Darko Churlinov,Burnley,
205,Josh Cullen,Burnley,
206,Marcus Edwards,Burnley,
207,Hannibal Mejbri,Burnley,
208,Luca Koleosho,Burnley,
209,Josh Laurent,Burnley,
210,Loum Tchaouna,Burnley,
211,Aaron Ramsey,Burnley,
212,Oluwaseun Adewumi,Burnley,
213,Jaydon Banel,Burnley,
214,Mike Trésor Ndayishimiye,Burnley,
215,Zian Flemming,Burnley,
216,Zeki Amdouni,Burnley,
217,Lyle Foster,Burnley,
218,Ashley Barnes,Burnley,
219,Michael Obafemi,Burnley,
66,Norberto Murara Neto,Bournemouth,
67,Đorđe Petrović,Bournemouth,
68,Will Dennis,Bournemouth,
69,Callan McKenna,Bournemouth,
70,Alex Paulsen,Bournemouth,
71,Illia Zabarnyi,Bournemouth,
72,Marcos Senesi Barón,Bournemouth,
73,Adam Smith,Bournemouth,
74,Adrien Truffert,Bournemouth,
75,Matai Akinmboni,Bournemouth,
76,Owen Bevan,Bournemouth,
77,James Hill,Bournemouth,
78,Julián Araujo Zúñiga,Bournemouth,
79,Chris Mepham,Bournemouth,
80,Julio Soler Barreto,Bournemouth,
81,Justin Kluivert,Bournemouth,
82,Antoine Semenyo,Bournemouth,
83,Dango Ouattara,Bournemouth,
84,Marcus Tavernier,Bournemouth,
85,Tyler Adams,Bournemouth,
86,David Brooks,Bournemouth,
87,Ryan Christie,Bournemouth,
88,Lewis Cook,Bournemouth,
89,Philip Billing,Bournemouth,
90,Alex Scott,Bournemouth,
91,Luis Sinisterra Lucumí,Bournemouth,
92,Romain Faivre,Bournemouth,
93,Hamed Traorè,Bournemouth,
94,Dominic Sadi,Bournemouth,
95,Zain Silcott-Duberry,Bournemouth,
96,Ben Winterburn,Bournemouth,
97,Francisco Evanilson de Lima Barbosa,Bournemouth,
98,Enes Ünal,Bournemouth,
99,Daniel Adu-Adjei,Bournemouth,
100,Eli Junior Kroupi,Bournemouth,
101,Caoimhín Kelleher,Brentford,
102,Ellery Balcombe,Brentford,
103,Matthew Cox,Brentford,
104,Julian Eyestone,Brentford,
105,Hákon Rafn Valdimarsson,Brentford,
106,Nathan Collins,Brentford,
107,Keane Lewis-Potter,Brentford,
108,Kristoffer Ajer,Brentford,
109,Rico Henry,Brentford,
