id,name,team,position_1,position_2,position_3,position_4,position_5,position_6,height,weight,left_foot,right_foot,corners,crossing,dribbling,finishing,first_touch,free_kick_taking,heading,long_shots,long_throws,marking,passing,penalty_taking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping_reach,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,handling,kicking,one_on_ones,punching_tendency,reflexes,rushing_out_tendency,throwing
1,Fábio Ferreira Vieira,Arsenal,mc,amc,amr,aml,,,1.73,64,20,9,13,13,14,11,15,13,7,12,4,5,15,12,7,16,12,13,12,14,11,14,13,15,10,13,8,12,15,13,13,14,14,5,13,13,13,8,,,,,,,,,,,
2,Gabriel Fernando de Jesus,Arsenal,st,amr,aml,,,,1.75,73,14,20,7,11,15,13,14,10,14,11,3,6,13,12,7,15,14,15,14,13,13,14,15,16,12,15,9,17,13,17,14,15,14,9,15,14,14,13,,,,,,,,,,,
3,Gabriel dos Santos Magalhães,Arsenal,dc,,,,,,1.9,78,20,10,4,7,10,6,12,4,17,6,7,15,13,7,16,13,16,14,16,12,13,14,13,8,11,9,15,16,13,14,13,13,14,17,13,15,16,17,,,,,,,,,,,
4,Kai Havertz,Arsenal,mc,amc,st,,,,1.91,84,20,10,10,10,14,11,17,11,14,11,8,8,16,13,10,17,11,15,11,11,10,14,10,15,7,15,11,15,15,13,14,13,13,14,16,14,15,13,,,,,,,,,,,
5,Karl Hein,Arsenal,gk,,,,,,1.94,89,8,20,,,,,10,8,,,,,9,2,,8,7,12,13,11,13,11,13,6,7,1,14,13,9,11,13,14,10,15,13,11,11,13,15,11,11,4,14,15,14,11,15,9,12
6,Jurriën Timber,Arsenal,dr,dc,dl,,,,1.79,79,10,20,5,10,11,8,15,10,14,8,8,14,16,9,14,16,13,15,14,16,15,15,16,12,10,14,16,17,13,16,15,16,14,14,12,16,15,13,,,,,,,,,,,
7,Jorge Luiz Frello Filho,Arsenal,dm,mc,,,,,1.8,67,10,20,11,12,12,8,17,11,7,9,2,10,16,15,14,16,10,17,14,16,14,16,15,13,14,15,14,17,16,15,11,14,14,9,12,12,14,9,,,,,,,,,,,
8,Jakub Kiwior,Arsenal,dc,dm,dl,,,,1.88,78,20,8,7,11,12,7,12,12,14,8,7,14,13,8,13,13,13,15,13,13,13,13,14,9,11,7,14,15,12,13,16,14,12,16,15,14,13,13,,,,,,,,,,,
9,Gabriel Martinelli Silva,Arsenal,aml,amr ,st,,,,1.8,72,10,20,14,12,15,14,15,10,13,8,3,5,12,11,5,16,14,13,14,13,12,13,17,15,6,16,7,16,13,17,17,16,14,11,13,16,16,11,,,,,,,,,,,
12,Ethan Nwaneri,Arsenal,amc,mc,st,aml,amr,,1.69,57,20,8,13,11,15,13,13,13,6,13,2,6,14,8,9,15,11,10,9,12,9,9,13,14,7,12,7,14,14,13,16,15,12,7,14,15,11,7,,,,,,,,,,,
13,Martin Ødegaard,Arsenal,mc,amc,,,,,1.78,68,20,10,16,15,16,13,18,14,8,17,4,10,17,14,9,18,8,18,10,16,15,17,16,16,14,17,9,18,19,15,13,16,15,9,13,13,15,11,,,,,,,,,,,
15,David Raya Martin,Arsenal,gk,,,,,,1.83,70,10,20,,,,,13,2,,,,,14,3,,13,12,14,14,14,13,12,14,13,11,6,13,12,15,13,12,17,10,12,16,10,12,11,13,13,14,13,15,17,14,13,16,17,16
16,Declan Rice,Arsenal,dm,mc,dc,,,,1.85,80,11,20,13,13,14,9,14,8,14,9,10,15,15,11,17,15,13,18,15,17,15,18,17,10,16,16,17,19,14,17,13,13,14,14,18,14,17,14,,,,,,,,,,,
17,Bukayo Saka,Arsenal,amr,aml,,,,,1.78,69,20,13,13,14,17,14,15,9,7,16,6,9,13,15,10,16,12,16,12,14,14,16,17,16,9,16,10,17,15,15,17,16,17,9,18,15,16,12,,,,,,,,,,,
18,William Saliba,Arsenal,dc,,,,,,1.92,83,11,20,6,10,11,9,14,6,16,11,6,15,13,10,16,13,15,17,14,17,15,15,15,11,10,8,14,17,12,15,14,14,15,16,14,14,16,16,,,,,,,,,,,
20,Thomas Partey,Arsenal,dm,mc,dr,,,,1.85,80,11,20,8,11,14,10,15,9,13,14,10,12,15,8,14,16,13,16,14,16,14,15,14,13,12,15,15,16,14,15,13,13,14,14,11,13,14,14,,,,,,,,,,,
21,Kieran Tierney,Arsenal,dl,wbl,dc,,,,1.78,76,20,9,10,15,14,11,14,10,12,11,15,13,12,8,15,13,15,13,16,13,13,13,18,12,14,13,13,19,12,18,15,15,15,12,13,14,15,11,,,,,,,,,,,
22,Tomiyasu Takehiro,Arsenal,dr,wbr,dl,wbl,dc,,1.88,78,16,20,7,11,13,8,12,6,12,9,11,13,12,7,15,13,13,15,15,14,14,13,15,13,7,12,14,16,12,16,13,14,13,14,16,13,15,13,,,,,,,,,,,
23,Leandro Trossard,Arsenal,aml,amc,amr,st,,,1.72,67,15,20,14,12,15,14,14,12,6,13,4,6,14,13,4,16,13,12,13,13,14,13,13,15,8,15,9,13,15,13,16,15,13,6,12,15,13,9,,,,,,,,,,,
24,Benjamin White,Arsenal,dr,dc,,,,,1.85,78,10,20,3,11,11,5,14,3,15,6,7,15,14,5,15,14,13,17,15,16,14,15,16,13,11,12,16,16,13,14,14,14,13,13,13,14,15,14,,,,,,,,,,,
25,Oleksandr Zinchenko,Arsenal,dl,wbl,dm,mc,,,1.75,61,20,11,12,13,14,10,15,13,12,13,9,11,15,9,13,16,13,15,12,15,13,14,16,13,14,16,11,16,15,16,14,14,14,10,13,13,14,10,,,,,,,,,,,
73,Norberto Murara Neto,Arsenal,gk,,,,,,1.9,84,7,20,,,,,10,7,,,,,11,3,,9,7,16,12,16,15,12,15,6,12,3,16,12,11,13,12,14,15,15,14,13,14,15,13,14,14,8,13,10,14,13,16,14,12
186,Raheem Sterling,Arsenal,amr,mr,aml,ml,,,1.72,70,8,20,7,12,14,12,12,9,11,11,4,6,12,11,7,12,12,17,11,11,12,12,13,14,12,19,8,13,12,14,16,17,13,7,20,14,17,11,,,,,,,,,,,
578,Riccardo Calafiori,Arsenal,dl,dc,,,,,1.88,86,20,10,8,13,14,9,14,8,13,13,12,14,15,8,15,15,15,18,11,15,14,15,15,13,8,13,14,15,13,15,14,13,15,14,12,15,15,14,,,,,,,,,,,
597,Myles Lewis-Skelly,Arsenal,mc,dm,,,,,1.78,68,20,9,12,10,15,10,14,12,9,11,4,8,13,9,11,15,13,11,10,12,9,10,14,13,10,12,9,14,13,13,15,15,14,11,10,14,12,11,,,,,,,,,,,
633,Mikel Merino,Arsenal,mc,dm,,,,,1.87,79,20,10,8,11,14,10,14,10,14,12,8,14,16,10,13,15,15,13,15,13,15,14,16,13,12,14,14,15,16,15,12,13,13,14,16,13,17,16,,,,,,,,,,,
638,Salah-Eddine Oulad M'hand,Arsenal,amc,mc,,,,,1.83,76,10,20,11,10,12,7,13,10,8,9,7,5,13,9,7,13,8,11,8,12,8,9,12,13,6,11,6,11,12,11,13,13,10,10,9,13,11,8,,,,,,,,,,,
639,Tommy Setford,Arsenal,gk,,,,,,1.85,75,10,20,,,,,6,6,,,,,11,3,,3,9,12,9,8,13,8,13,1,5,3,9,9,8,8,9,15,9,11,11,10,5,5,10,9,12,12,13,12,12,8,10,8,9
657,Maldini Kacurri,Arsenal,dc,,,,,,1.87,83,8,20,7,6,1,9,8,2,11,8,3,11,8,6,12,8,17,10,10,9,9,8,4,6,2,7,16,9,9,10,10,6,13,16,12,10,10,13,,,,,,,,,,,
659,Ismeal Kabia,Arsenal,aml,amr,,,,,1.64,56,10,20,8,13,14,9,9,7,7,10,7,6,11,4,8,14,14,9,8,9,7,14,15,13,3,7,7,8,12,13,8,12,14,3,15,12,10,1,,,,,,,,,,,
662,Josh Nichols,Arsenal,dr,wbr,dl,wbl,,,1.65,55,14,20,5,13,14,4,10,3,10,5,7,9,12,2,11,12,10,8,10,10,6,10,16,9,8,7,8,14,10,14,17,12,6,6,10,15,9,7,,,,,,,,,,,
665,Nathan Butler-Oyedeji,Arsenal,st,amr,aml,mr,,,1.77,67,6,20,8,9,12,11,11,8,8,9,3,2,8,8,5,10,8,11,12,9,7,8,12,12,6,14,5,12,7,12,17,13,13,8,11,15,10,8,,,,,,,,,,,
756,Jack Porter,Arsenal,gk,,,,,,1.92,74,5,20,,,,,1,5,,,,,14,2,,3,12,13,15,3,10,13,8,3,8,2,9,6,7,7,9,9,8,16,7,11,3,7,11,10,12,5,9,11,7,13,14,13,10
28,Leon Bailey,Aston Villa,amr,mr,aml,ml,,,1.78,75,20,8,13,14,15,14,12,10,7,14,11,4,11,12,7,14,13,14,12,11,10,12,15,17,8,13,9,12,12,14,17,16,10,12,14,17,13,9,,,,,,,,,,,
29,Ross Barkley,Aston Villa,dm,mc,amc,,,,1.89,76,14,20,13,11,16,12,16,14,12,15,9,6,16,12,8,16,9,14,11,13,12,11,12,15,13,11,11,11,15,13,13,11,14,12,12,13,12,15,,,,,,,,,,,
30,Enzo Barrenechea,Aston Villa,dm,mc,,,,,1.86,81,13,20,12,13,10,8,13,10,12,9,5,10,14,12,12,15,14,14,13,13,11,13,15,12,10,9,14,13,12,13,13,13,13,14,14,12,13,13,,,,,,,,,,,
31,Emiliano Buendía Stati,Aston Villa,amr,amc,,,,,1.7,65,10,20,14,15,16,13,15,13,5,11,4,4,15,9,8,16,15,15,12,15,11,11,16,18,5,15,9,13,16,14,14,16,15,8,14,14,13,10,,,,,,,,,,,
32,Matty Cash,Aston Villa,dr,wbr,mr,,,,1.85,79,14,20,10,11,13,12,14,10,12,12,17,9,13,8,12,12,15,15,13,10,11,12,15,11,9,14,11,16,11,16,14,14,13,10,15,14,15,12,,,,,,,,,,,
33,Leander Dendoncker,Aston Villa,dm,mc,,,,,1.88,76,9,20,8,8,10,7,11,9,14,10,9,12,13,7,13,11,14,14,14,12,14,13,12,10,12,12,13,14,10,14,11,12,13,14,12,12,13,11,,,,,,,,,,,
34,Moussa Diaby,Aston Villa,amr,st,aml,amc,,,1.7,67,20,10,11,11,16,13,13,8,4,13,4,5,12,11,6,15,16,12,8,12,10,10,12,15,4,13,6,11,12,13,18,17,12,5,16,18,13,8,,,,,,,,,,,
35,Diego Carlos Santos Silva,Aston Villa,dc,,,,,,1.86,79,9,20,3,5,7,5,11,9,15,8,10,16,12,10,15,12,16,15,19,13,14,13,15,9,9,8,15,13,8,14,12,12,15,14,14,13,15,18,,,,,,,,,,,
36,Lucas Digne,Aston Villa,dl,wbl,,,,,1.78,74,20,5,13,15,13,8,14,16,12,13,15,10,14,6,13,14,13,14,15,15,13,12,16,10,8,15,11,14,13,15,15,15,13,8,15,14,16,11,,,,,,,,,,,
37,Lewis Dobbin,Aston Villa,amr,amc,st,,,,1.75,68,12,20,8,13,15,10,11,6,7,8,4,7,11,7,8,14,9,10,9,9,9,8,11,14,5,10,6,9,10,14,15,10,8,8,14,15,12,7,,,,,,,,,,,
38,Jhon Durán,Aston Villa,st,,,,,,1.85,73,20,7,9,13,13,15,13,9,13,13,8,8,12,12,6,13,15,14,12,12,11,12,11,15,12,14,10,12,12,15,15,15,12,15,13,15,14,16,,,,,,,,,,,
