name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,defensive_contribution,GW
David Raya Martín,GK,Arsenal,,0,0,24,1,0.0,1,0.00,0.00,0.00,0.20,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,90,FALSE,7,0,0,0,0,1,1,3347153,1,0,3,0.0,6,0,0,0,60,True,0,0,1
Kepa Arrizabalaga Revuelta,GK,Arsenal,,0,0,0,0,0.0,2,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,7415,0,0,3,0.0,0,0,0,0,50,True,0,0,1
Illan Meslier,GK,Arsenal,,0,0,0,0,0.0,3,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,2971,0,0,3,0.0,0,0,0,0,50,True,0,0,1
Gabriel dos Santos Magalhães,DEF,Arsenal,,0,0,21,1,0.0,4,0.01,0.06,0.05,0.20,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,90,FALSE,7,0,0,0,0,1,0,2647984,1,0,3,0.0,5,0,0,0,80,True,1,4,1
Jurriën Timber,DEF,Arsenal,,0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,11200,0,0,3,0.0,0,0,0,0,65,True,0,0,1
William Saliba,DEF,Arsenal,,0,0,0,0,0.0,6,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,26559,0,0,3,0.0,0,0,0,0,60,True,0,0,1
Myles Lewis-Skelly,MID,Arsenal,,0,0,15,1,0.0,7,0.11,0.17,0.06,0.20,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,90,FALSE,7,0,0,0,0,1,0,55656,1,0,3,0.0,3,0,0,0,55,True,0,7,1
Riccardo Calafiori,DEF,Arsenal,,1,0,31,1,0.0,8,0.09,0.13,0.04,0.06,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,80,FALSE,7,0,0,0,0,1,0,3542684,1,0,3,0.0,9,0,0,0,55,True,0,5,1
Piero Hincapié,DEF,Arsenal,,0,0,3,0,0.0,9,0.00,0.00,0.00,0.15,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,9,FALSE,7,0,0,0,0,1,0,165924,0,0,3,0.0,1,0,0,0,55,True,0,0,1
Benjamin White,DEF,Arsenal,,1,2,37,1,0.0,10,0.21,0.39,0.18,0.20,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,90,FALSE,7,0,0,0,0,1,0,401419,1,0,3,0.0,11,0,0,0,55,True,0,5,1
