age,assists,assists_per90,cards_red,cards_yellow,cards_yellow_red,crosses,fbref_id,fouled,fouls,games,games_complete,games_starts,games_subs,goals,goals_assists,goals_assists_pens_per90,goals_assists_per90,goals_pens,goals_pens_per90,goals_per90,goals_per_shot,goals_per_shot_on_target,interceptions,minutes,minutes_90s,minutes_pct,minutes_per_game,minutes_per_start,minutes_per_sub,name,nationality,offsides,on_goals_against,on_goals_for,own_goals,pens_att,pens_conceded,pens_made,pens_won,plus_minus,plus_minus_per90,plus_minus_wowy,points_per_game,position,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,tackles_won,team,unused_subs,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins
"27-258","0","0.00","0","0","0","3","79300479","1","0","2","0","2","0","1","1","0.62","0.62","1","0.62","0.62","0.25","1.00","0","145","1.6","80.6","73","73","0.00","Martin Ødegaard","no NOR","0","0","4","0","0","0.00","0","0.00","+4","+2.48","+2.48","3.00","MF","4","1","25.0","0.62","2.48","3","Arsenal","0","","","","","","","","","","","","","","","","","",""
"27-082","0","0.00","0","0","0","0","fed7cb61","4","3","2","2","2","0","1","1","0.50","0.50","1","0.50","0.50","0.50","0.50","1","180","2.0","100.0","90","90","0.00","Kai Havertz","de GER","7","0","4","0","0","0.00","0","0.00","+4","+2.00","0.00","3.00","FW","2","2","100.0","1.00","1.00","0","Arsenal","0","","","","","","","","","","","","","","","","","",""
"28-256","0","0.00","0","1","0","0","67ac5bb8","2","3","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","3","180","2.0","100.0","90","90","0.00","Gabriel Magalhães","br BRA","0","0","4","0","0","0.00","0","0.00","+4","+2.00","0.00","3.00","DF","2","0","0.0","0.00","1.00","0","Arsenal","0","","","","","","","","","","","","","","","","","",""
"30-351","0","0.00","0","0","0","0","98ea5115","0","0","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","180","2.0","100.0","90","90","0.00","David Raya","es ESP","0","0","4","0","0","0.00","0","0.00","+4","+2.00","0.00","3.00","GK","0","0","0.00","0.00","0.00","0","Arsenal","0","2","100.0","2","2","0","0.00","0","180","0","0","0","0.00","0","100.0","1","1","0","2"
"28-328","1","0.50","0","0","0","6","35e413f1","1","1","2","2","2","0","0","1","0.50","0.50","0","0.00","0.00","0.00","0.00","2","180","2.0","100.0","90","90","0.00","Ben White","eng ENG","1","0","4","0","0","0.00","0","0.00","+4","+2.00","0.00","3.00","DF","1","0","0.0","0.00","0.50","2","Arsenal","0","","","","","","","","","","","","","","","","","",""
"24-105","2","1.05","0","0","0","1","aded8e6f","1","1","2","1","2","0","0","2","1.05","1.05","0","0.00","0.00","0.00","0.00","1","171","1.9","95.0","86","86","0.00","Riccardo Calafiori","it ITA","1","0","4","0","0","0.00","0","0.00","+4","+2.11","+2.11","3.00","DF","2","0","0.0","0.00","1.05","1","Arsenal","0","","","","","","","","","","","","","","","","","",""
"22-066","0","0.00","0","0","0","0","dc1ce4f5","0","1","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","168","1.9","93.3","84","84","0.00","Cristhian Mosquera","es ESP","0","0","4","0","0","0.00","0","0.00","+4","+2.14","+2.14","3.00","DF","0","0","0.00","0.00","0.00","0","Arsenal","0","","","","","","","","","","","","","","","","","",""
"19-340","0","0.00","0","0","0","0","5dff6c28","5","1","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","160","1.8","88.9","80","80","0.00","Myles Lewis-Skelly","eng ENG","0","0","4","0","0","0.00","0","0.00","+4","+2.25","+2.25","3.00","MF","2","0","0.0","0.00","1.13","0","Arsenal","0","","","","","","","","","","","","","","","","","",""
"24-361","0","0.00","0","0","0","9","bc7dc64d","7","0","2","1","2","0","2","2","1.15","1.15","2","1.15","1.15","0.40","1.00","2","157","1.7","87.2","79","79","0.00","Bukayo Saka","eng ENG","2","0","4","0","0","0.00","0","0.00","+4","+2.29","+2.29","3.00","MF","5","2","40.0","1.15","2.87","3","Arsenal","0","","","","","","","","","","","","","","","","","",""
"27-230","0","0.00","0","0","0","8","1c7012b8","0","2","2","0","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","151","1.7","83.9","76","76","0.00","Declan Rice","eng ENG","1","0","4","0","0","0.00","0","0.00","+4","+2.38","+2.38","3.00","MF","2","0","0.0","0.00","1.19","2","Arsenal","0","","","","","","","","","","","","","","","","","",""
